"contrast","statistic","p.value","df","observations"
"Distance and APOE","2.31293676741629","0.0614429652142144","5","475"
"","","","",""
"TukeyHSD","mean diff","CIlwr","CIhi","p-value"
"APOE3/3-APOE2/2","-0.126170879120879","-0.205314449980933","-0.0470273082608244","9.45409612590487e-05"
"APOE4/4-APOE2/2","-0.0423592642140461","-0.126909802541238","0.0421912741131456","0.706432262920876"
"APOE4/4-APOE3/3","0.0838116149068328","0.0184057372846264","0.149217492529039","0.00370409924125437"
"E2HN-E3HN","-0.138342222222222","-0.39519216075181","0.118507716307366","0.63764767652105"
"E4HN-E2HN","-0.104953571428571","-0.35717520404784","0.147268061190699","0.841234049929419"
"E4HN-E3HN","0.0474500000000006","-0.0296049815588757","0.124504981558877","0.491377319823827"
"APOE2/2-E2HN","0.0262326923076923","-0.226634835434743","0.279100220050128","0.999690189002496"
"APOE3/3-E3HN","0.0140613492063494","-0.0770079054549362","0.105130603867635","0.997868056388789"
"APOE4/4-E4HN","-0.0363616149068322","-0.11896039762169","0.0462371678080253","0.806689264348712"
